County,Tested,Confirmed Cases,Probable Cases,Contacts,Deaths,Recovered,Recovered/Confirmed
Albany,42720,1010,137,660,2,613,61
Big Horn,3545,157,19,169,1,104,66
Campbell,10999,617,59,1323,2,405,66
Carbon,5663,252,34,200,2,209,83
Converse,1960,182,87,413,0,139,76
Crook,725,80,10,161,0,50,63
Fremont,34800,972,140,1331,15,758,78
Goshen,4375,121,18,157,2,81,67
Hot Springs,1094,37,9,100,0,34,92
Johnson,1819,53,22,116,2,36,68
Laramie,23440,962,318,2006,4,662,69
Lincoln,3784,259,55,402,2,180,69
Natrona,18871,932,181,1491,8,622,67
Niobrara,715,3,3,10,0,2,67
Park,6748,433,47,616,3,267,62
Platte,1346,67,39,101,1,37,55
Sheridan,13289,428,150,989,4,287,67
Sublette,2267,110,43,168,1,101,92
Sweetwater,14087,415,21,947,2,369,89
Teton,18505,682,33,1531,1,644,94
Uinta,4893,328,79,728,2,296,90
Washakie,2265,130,12,173,7,100,77
Weston,1590,77,26,133,0,36,47
